"Season","1st Date","# of Perfs","Conductor","Orch.","Location","Venue","Event","Soloist","ID"
"1923-24","10/29/1923 20:30:00","1","","","Manhattan, NY","Carnegie Hall","Chamber","Walter Damrosch","10304"
"1922-23","08/12/1923 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Cornelius van Vliet","13046"
"1922-23","08/10/1923 20:30:00","1","Willem van Hoogstraten","New York Philharmonic","Manhattan, NY","Lewisohn Stadium","Special","Anna Case","13778"
"1922-23","07/23/1923 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","13027"
"1922-23","04/12/1923 20:30:00","2","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall,Metropolitan Opera House (39th street)","Special","Schola Cantorum of NY","2382"
"1922-23","04/08/1923 15:00:00","1","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","Josef Lhevinne","2376"
"1922-23","04/06/1923 14:30:00","1","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Josef Lhevinne","2365"
"1922-23","03/07/1923 20:30:00","1","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","Scipione Guidi,Cornelius van Vliet,Clarence Adler,The New York Trio","1938"
"1922-23","01/16/1923 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","","3257"
"1922-23","01/14/1923 15:00:00","1","Albert Coates","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Mieczyslaw Munz,No Soloist","8659"
"1922-23","12/26/1922 20:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Cooper Union","Subscription Season","","6934"
"1922-23","12/21/1922 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Waldorf-Astoria Hotel","Private Concert","","6928"
"1922-23","12/20/1922 00:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Great Hall, City College of New York","Subscription Season","","6922"
"1922-23","12/16/1922 20:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Hall of the Commercial High School","Subscription Season","Victoria Boshko","6914"
"1922-23","12/07/1922 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Ignacy Jan Paderewski","8652"
"1922-23","11/28/1922 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","Artur Rubinstein","2581"
"1922-23","11/19/1922 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","5453"
"1922-23","11/11/1922 14:30:00","1","Walter Damrosch,Frank Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Young People's Concert","Walter Damrosch,Alfred Cortot","10313"
"1922-23","11/06/1922 20:15:00","1","Josef Stránský","New York Philharmonic","New London, CT","State Armory","Tour","","13430"
"1922-23","11/05/1922 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Emma Calve,Yvonne Dienne","8640"
"1922-23","11/02/1922 20:15:00","1","Josef Stránský","New York Philharmonic","Springfield, MA","Municipal Auditorium","Tour","Alexander Siloti","13429"
"1921-22","08/10/1922 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","No Soloist","13085"
"1921-22","07/19/1922 20:30:00","1","Henry Kimball Hadley","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","13063"
"1921-22","04/09/1922 15:00:00","1","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","Myra Hess","3756"
"1921-22","04/08/1922 20:30:00","1","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Elly Ney","3753"
"1921-22","03/09/1922 20:30:00","2","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Fritz Kreisler","3338"
"1921-22","03/07/1922 20:30:00","1","Artur Bodanzky","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","","3328"
"1921-22","03/02/1922 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Josef Hofmann","8627"
"1921-22","02/27/1922 20:15:00","1","Artur Bodanzky","New York Symphony","Manhattan, NY","Carnegie Hall","Special","The Philadelphia Orchestra","4060"
"1921-22","02/19/1922 15:00:00","1","Albert Coates","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Florence Easton,No Soloist","8625"
"1921-22","02/12/1922 15:00:00","1","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","2892"
"1921-22","02/05/1922 15:15:00","1","Willem Mengelberg","New York Philharmonic","Brooklyn, NY","Brooklyn Academy of Music","Subscription Season","","2879"
"1921-22","01/22/1922 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Elly Ney","5325"
"1921-22","01/01/1922 20:15:00","1","Richard Strauss","New York Philharmonic","Manhattan, NY","Hippodrome","Subscription Season","Bronislaw Huberman","2452"
"1921-22","12/16/1921 14:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Sergei Rachmaninoff","7280"
"1921-22","12/15/1921 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Sergei Rachmaninoff","7273"
"1921-22","12/11/1921 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Georges Barrère","8613"
"1921-22","12/04/1921 15:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Brooklyn Academy of Music","Subscription Season","Bronislaw Huberman","7237"
"1921-22","11/19/1921 20:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Hall of the Commercial High School","Subscription Season","John Barclay","6805"
"1921-22","11/13/1921 15:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Brooklyn Academy of Music","Subscription Season","","6794"
"1921-22","11/12/1921 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Bronislaw Huberman","6789"
"1921-22","11/06/1921 15:15:00","1","Josef Stránský","New York Philharmonic","Providence, RI","Shubert-Majestic Theatre","Tour","Grace Wagner","13427"
"1921-22","11/05/1921 20:00:00","1","Josef Stránský","New York Philharmonic","New London, CT","State Armory","Tour","","1114"
"1921-22","11/04/1921 20:15:00","1","Josef Stránský","New York Philharmonic","Holyoke, MA","City Hall","Tour","","1111"
"1921-22","11/03/1921 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Florence Easton","8596"
"1921-22","11/03/1921 20:15:00","1","Josef Stránský","New York Philharmonic","Springfield, MA","Municipal Auditorium","Tour","Grace Wagner","1104"
"1921-22","11/02/1921 20:00:00","1","Josef Stránský","New York Philharmonic","Northampton, MA","John M. Greene Hall","Tour","No Soloist","1103"
"1921-22","11/01/1921 20:15:00","1","Josef Stránský","New York Philharmonic","Worcester, MA","Mechanics Hall","Tour","Grace Wagner","1098"
"1921-22","10/31/1921 20:15:00","1","Josef Stránský","New York Philharmonic","New Haven, CT","Woolsey Hall","Tour","Hulda Lashanska","679"
"1921-22","10/30/1921 14:45:00","1","Josef Stránský","New York Philharmonic","Bridgeport, CT","Park Theatre","Tour","Grace Wagner","674"
"1921-22","10/27/1921 20:30:00","2","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","John Powell","6357"
"1921-22","10/23/1921 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Entire String Section","8595"
"1920-21","06/03/1921 00:00:00","1","Josef Stránský","New York Philharmonic","Montreal, CANADA","Théâtre St-Denis","Tour","","8986"
"1920-21","05/20/1921 00:00:00","1","Josef Stránský","New York Philharmonic","Wausau, WI","Rothschild Park Pavilion","Tour","Georgia Hall Quick","2016"
"1920-21","05/11/1921 20:15:00","1","Josef Stránský","New York Philharmonic","Lincoln, NE","City Auditorium","Tour","","13402"
"1920-21","05/04/1921 00:00:00","1","Josef Stránský","New York Philharmonic","Colorado Springs, CO","Burns Theater","Tour","","8567"
"1920-21","04/29/1921 00:00:00","1","Josef Stránský","New York Philharmonic","Walla Walla, WA","Keylor Grand","Tour","","8866"
"1920-21","04/24/1921 00:00:00","1","Josef Stránský","New York Philharmonic","San Francisco, CA","Civic Auditorium","Tour","","13401"
"1920-21","04/15/1921 00:00:00","1","Josef Stránský","New York Philharmonic","Ft. Worth, TX","First Baptist Church","Tour","Arthur Shattuck","4985"
"1920-21","04/13/1921 20:30:00","1","Josef Stránský","New York Philharmonic","Waco, TX","Coliseum","Tour","","4975"
"1920-21","04/12/1921 20:00:00","1","Josef Stránský","New York Philharmonic","Houston, TX","City Auditorium","Tour","","8211"
"1920-21","04/10/1921 20:15:00","2","Artur Bodanzky","New/National Symphony Orchestra","Manhattan, NY","Carnegie Hall","Subscription Season","Erno Dohnányi","13963"
"1920-21","04/07/1921 00:00:00","1","Josef Stránský","New York Philharmonic","Birmingham, AL","Jefferson Theater","Tour","","4954"
"1920-21","04/01/1921 00:00:00","1","Josef Stránský","New York Philharmonic","Louisville, KY","Unknown Venue","Tour","","4920"
"1920-21","04/01/1921 14:30:00","2","Artur Bodanzky","New/National Symphony Orchestra","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolph Ganz","13961"
"1920-21","03/31/1921 00:00:00","1","Josef Stránský","New York Philharmonic","Dayton, OH","Civic Music league","Tour","","634"
"1920-21","03/28/1921 00:00:00","1","Josef Stránský","New York Philharmonic","Allentown, PA","Lyric Theatre","Tour","No Soloist","611"
"1920-21","03/20/1921 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Paul Kochanski","8593"
"1920-21","03/16/1921 20:15:00","1","Josef Stránský","New York Philharmonic","Detroit, MI","Orchestra Hall","Tour","Rudolph Ganz","581"
"1920-21","03/14/1921 20:15:00","1","Josef Stránský","New York Philharmonic","Utica, NY","Gaiety Theatre","Tour","","569"
"1920-21","03/08/1921 20:30:00","1","Josef Stránský","New York Philharmonic","Princeton, NJ","Alexander Hall","Runout","","4711"
"1920-21","02/26/1921 19:30:00","1","Josef Stránský","New York Philharmonic","Poughkeepsie, NY","Students' Auditorium","Runout","","1357"
"1920-21","02/18/1921 20:15:00","1","Josef Stránský","New York Philharmonic","Easton, PA","Orpheum Theatre","Tour","Earle D. Laros","6021"
"1920-21","02/17/1921 20:30:00","1","Josef Stránský","New York Philharmonic","Wilkes-Barre, PA","Irem Temple","Tour","","6017"
"1920-21","02/17/1921 20:15:00","1","Willem Mengelberg","New/National Symphony Orchestra","Manhattan, NY","Carnegie Hall","Subscription Season","Helen Teschner Tas","13955"
"1920-21","01/30/1921 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","4429"
"1920-21","01/27/1921 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Sergei Rachmaninoff","4411"
"1920-21","01/08/1921 11:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Young People's Concert","Walter Damrosch,Willem Willeke,Gustave Tinlot","10336"
"1920-21","12/17/1920 20:15:00","2","Artur Bodanzky","New/National Symphony Orchestra","Manhattan, NY","Carnegie Hall","Subscription Season","Heinrich Gebhard,Olga Samaroff","13689"
"1920-21","12/17/1920 14:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Harold Bauer","692"
"1920-21","12/12/1920 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Arrigo Serato","1231"
"1920-21","12/12/1920 15:00:00","1","Willem Willeke","New York Symphony","Manhattan, NY","Lexington Theatre","Special","Duci de Karekjarto (Kerekjártó),Christaine Eymael (Eymaël)","11778"
"1920-21","12/05/1920 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Mischa Levitzki","8559"
"1920-21","12/02/1920 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","","8558"
"1920-21","11/14/1920 15:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Brooklyn Academy of Music","Subscription Season","Fritz Kreisler","816"
"1920-21","11/12/1920 14:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","813"
"1920-21","11/05/1920 20:15:00","1","Josef Stránský","New York Philharmonic","Holyoke, MA","City Hall","Tour","","2526"
"1919-20","08/04/1920 20:30:00","1","Walter Henry Rothwell","New/National Symphony Orchestra","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Kitty Beale","13782"
"1919-20","06/14/1920 20:00:00","1","Walter Damrosch","New York Symphony","London, ENGLAND","Queen's Hall","Tour","Albert Spalding","10476"
"1919-20","05/22/1920 21:30:00","1","Walter Damrosch","New York Symphony","Rome, Italy","Augusteo","Tour","","10457"
"1919-20","05/06/1920 21:00:00","1","Walter Damrosch","New York Symphony","Paris, FRANCE","Théâtre National de l'Opéra","Tour","","10448"
"1919-20","04/14/1920 20:15:00","2","Artur Bodanzky","New/National Symphony Orchestra","Manhattan, NY","Carnegie Hall","Subscription Season","Fritz Kreisler","13680"
"1919-20","03/25/1920 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Fritz Kreisler","4837"
"1919-20","03/05/1920 14:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Albert Spalding","6112"
"1919-20","02/20/1920 20:15:00","1","Josef Stránský","New York Philharmonic","Pittsfield, MA","Colonial Theatre","Tour","Ruth Deyo","7346"
"1919-20","02/19/1920 00:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Alfred Cortot","10351"
"1919-20","02/17/1920 00:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Alfred Cortot","10350"
"1919-20","02/17/1920 00:00:00","1","Josef Stránský","New York Philharmonic","Boston, MA","Symphony Hall","Tour","","7337"
"1919-20","02/14/1920 20:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Hall of the Commercial High School","Subscription Season","John Aubert","451"
"1919-20","02/08/1920 15:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Brooklyn Academy of Music","Subscription Season","Rosa Ponselle","5668"
"1919-20","02/08/1920 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Alfred Cortot","8546"
"1919-20","01/16/1920 14:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Olga Samaroff","5249"
"1919-20","01/13/1920 15:00:00","1","Artur Bodanzky","New/National Symphony Orchestra","Manhattan, NY","Carnegie Hall","Subscription Season","Frances Alda,Erin Ballard","13950"
"1919-20","12/13/1919 20:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Hall of the Commercial High School","Subscription Season","","2638"
"1919-20","12/07/1919 20:15:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Hippodrome","Subscription Season","Mischa Elman","10029"
"1919-20","12/06/1919 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Toscha Seidel","2618"
"1919-20","12/05/1919 14:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Edwin Hughes","2611"
"1919-20","11/29/1919 20:15:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Percy Grainger","8522"
"1919-20","11/25/1919 14:30:00","2","Artur Bodanzky","New/National Symphony Orchestra","Manhattan, NY","Carnegie Hall","Subscription Season","Harold Bauer","13674"
"1919-20","11/23/1919 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","2230"
"1919-20","11/19/1919 20:15:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Ruth Ray","2215"
"1919-20","11/09/1919 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Albert Spalding,No Soloist","8519"
"1919-20","11/04/1919 20:15:00","1","Josef Stránský","New York Philharmonic","Bridgeport, CT","Park Theatre","Tour","Percy Grainger","3889"
"1919-20","10/09/1919 20:30:00","2","Artur Bodanzky","New/National Symphony Orchestra","Manhattan, NY","Carnegie Hall","Subscription Season","Heinrich Gebhard","13670"
"1918-19","03/30/1919 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Eddy Brown","3937"
"1918-19","03/24/1919 20:15:00","1","Josef Stránský","New York Philharmonic","Canton, OH","City Auditorium","Tour","","1785"
"1918-19","03/13/1919 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Oratorio Society of New York,St. Thomas' Choristers,Florence Hinkle,Emma Roberts,Arthur Middleton,Reed Miller,Gustave Tinlot","8516"
"1918-19","03/04/1919 20:20:00","1","Walter Damrosch","New York Symphony","Scranton, PA","Town Hall","Tour","Alexander Brachocki","10389"
"1918-19","02/22/1919 20:15:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Artur Rubinstein","8512"
"1918-19","02/13/1919 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","","8510"
"1918-19","02/09/1919 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Daniel Maquarre","8509"
"1918-19","02/07/1919 14:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Ethel Leginska","7020"
"1918-19","01/11/1919 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Mischa Levitzki","6622"
"1918-19","01/10/1919 20:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Hall of the Commercial High School","Subscription Season","","6618"
"1918-19","01/09/1919 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Josef Hofmann","10358"
"1918-19","01/05/1919 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Georges Apchain,Gustave Langenus,Gustave Tinlot,Henri De Busscher","8504"
"1918-19","11/21/1918 20:30:00","2","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Raoul Vidas","3604"
"1918-19","10/31/1918 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Leo Ornstein","8485"
"1917-18","03/03/1918 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Harold Bauer","1442"
"1917-18","02/10/1918 15:15:00","1","Josef Stránský","New York Philharmonic","Brooklyn, NY","Brooklyn Academy of Music","Subscription Season","Louis Graveure","1044"
"1917-18","02/09/1918 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Mischa Elman","1038"
"1917-18","01/23/1918 20:15:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Marcella Craft","4656"
"1917-18","01/18/1918 14:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolph Ganz","9783"
"1917-18","12/02/1917 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Rudolph Ganz","8467"
"1917-18","12/02/1917 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Helen Stanley","5405"
"1917-18","11/18/1917 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Jascha Heifetz","8465"
"1917-18","11/10/1917 00:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Young People's Concert","","13834"
"1917-18","11/04/1917 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Mischa Elman","8461"
"1917-18","11/02/1917 20:15:00","1","Josef Stránský","New York Philharmonic","Holyoke, MA","City Hall","Tour","No Soloist","6659"
"1917-18","10/25/1917 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Harold Bauer","8457"
"1916-17","03/25/1917 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Percy Grainger","5096"
"1916-17","03/19/1917 20:15:00","1","Josef Stránský","New York Philharmonic","Akron, OH","Music Hall","Tour","","7331"
"1916-17","03/17/1917 20:15:00","1","Josef Stránský","New York Philharmonic","Findlay, OH","Marvin Theater","Tour","","7329"
"1916-17","03/17/1917 14:45:00","1","Josef Stránský","New York Philharmonic","Tiffin, OH","Grand Opera House","Tour","","7325"
"1916-17","03/11/1917 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Fritz Kreisler,Harold Bauer,Pau Casals","8454"
"1916-17","03/08/1917 14:30:00","1","Josef Stránský","New York Philharmonic","Middlebury, CT","Westover School","Runout","Luba D'Alexandrowsky","5067"
"1916-17","03/04/1917 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Yolanda Mero","5064"
"1916-17","02/17/1917 15:00:00","1","Walter Damrosch,Victor Kolar","New York Symphony","Brooklyn, NY","Brooklyn Academy of Music","Subscription Season","Andreas Pavley,Serge Oukrainsky,Ludmila","8450"
"1916-17","02/17/1917 20:15:00","1","Josef Stránský","New York Philharmonic","Hartford, CT","Foot Guard Hall","Tour","","2999"
"1916-17","02/16/1917 20:15:00","1","Josef Stránský","New York Philharmonic","New Haven, CT","Woolsey Hall","Tour","Melanie Kurt","2990"
"1916-17","02/13/1917 20:15:00","1","Josef Stránský","New York Philharmonic","Torrington, CT","City Hall","Tour","","2978"
"1916-17","02/10/1917 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Mischa Elman","711"
"1916-17","02/06/1917 20:15:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Florence Macbeth","697"
"1916-17","01/20/1917 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Bethlehem Bach Choir","3751"
"1916-17","01/17/1917 20:30:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","3735"
"1916-17","12/16/1916 20:15:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Guiomar Novaes","8431"
"1916-17","12/07/1916 20:30:00","2","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Teresa Carreño","4"
"1916-17","11/12/1916 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Josef Hofmann","3038"
"1916-17","11/05/1916 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Carl Friedberg","8421"
"1915-16","05/11/1916 00:00:00","1","Josef Stránský","New York Philharmonic","Birmingham, AL","Bijou Theater","Tour","Royal Dadmun,Chorus,Maximilian Pilzer,Eleanore Cochrane","409"
"1915-16","05/09/1916 00:00:00","1","Josef Stránský","New York Philharmonic","Mobile, AL","Lyric Theatre","Tour","Theo Karle,Eleanore Cochrane","393"
"1915-16","05/05/1916 00:00:00","1","Josef Stránský","New York Philharmonic","Galveston, TX","City Auditorium","Tour","Ruth Townsend","373"
"1915-16","05/04/1916 00:00:00","1","Josef Stránský","New York Philharmonic","Austin, TX","University Auditorium","Tour","Eleanore Cochrane","370"
"1915-16","04/25/1916 00:00:00","1","Josef Stránský","New York Philharmonic","Hutchinson, KS","Unknown Venue","Tour","Ruth Townsend","3471"
"1915-16","04/21/1916 15:00:00","1","Josef Stránský","New York Philharmonic","Kansas City, MO","Shubert Theater","Tour","Royal Dadmun","3463"
"1915-16","04/17/1916 15:00:00","1","Josef Stránský","New York Philharmonic","Des Moines, IA","The Coliseum","Tour","Leo Schulz,Eleanore Cochrane,School Children's Chorus","3444"
"1915-16","04/12/1916 00:00:00","1","Josef Stránský","New York Philharmonic","Dubuque, IA","Majestic Theatre","Tour","Eleanore Cochrane","3422"
"1915-16","03/26/1916 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","4204"
"1915-16","03/21/1916 20:30:00","1","Josef Stránský","New York Philharmonic","Wheeling, WV","Court Theatre","Tour","Ernest Schelling","6460"
"1915-16","03/18/1916 20:15:00","1","Josef Stránský","New York Philharmonic","Detroit, MI","Arcadia Auditorium","Tour","Ernest Schelling","6449"
"1915-16","03/17/1916 20:00:00","1","Josef Stránský","New York Philharmonic","Ann Arbor, MI","Hill Auditorium","Tour","Albert Lindquest","6444"
"1915-16","03/15/1916 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Josef Hofmann","10419"
"1915-16","03/13/1916 20:15:00","1","Josef Stránský","New York Philharmonic","Albany, NY","Harmanus Bleecker Hall","Tour","Julia Culp","6420"
"1915-16","03/02/1916 20:15:00","2","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Ossip Gabrilowitsch","4176"
"1915-16","02/29/1916 20:00:00","1","Josef Stránský","New York Philharmonic","Princeton, NJ","Alexander Hall","Runout","Marie Sundelius","7223"
"1915-16","02/17/1916 20:15:00","1","Josef Stránský","New York Philharmonic","Rochester, NY","Convention Hall","Tour","Percy Grainger","2100"
"1915-16","02/16/1916 20:15:00","1","Josef Stránský","New York Philharmonic","Utica, NY","Lumberg Theatre","Tour","Ernest Schelling","2097"
"1915-16","02/15/1916 20:15:00","1","Josef Stránský","New York Philharmonic","Waterbury, CT","Buckingham Hall","Tour","Julia Culp","2092"
"1915-16","01/15/1916 15:00:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Aeolian Hall","Young People's Concert","May Peterson","7243"
"1915-16","12/09/1915 20:15:00","2","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","6507"
"1915-16","12/04/1915 20:15:00","1","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","No Soloist","6499"
"1915-16","11/20/1915 00:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Young People's Concert","Percy Grainger","10408"
"1915-16","11/11/1915 20:15:00","2","Josef Stránský","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Pau Casals","2157"
"1915-16","10/22/1915 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Mischa Elman","8396"
"1914-15","03/05/1915 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Elena Gerhardt","8395"
"1914-15","02/26/1915 15:00:00","2","Walter Damrosch","New York Symphony","Manhattan, NY","Aeolian Hall","Subscription Season","Ferruccio Busoni","8394"
