"Season","1st Date","# of Perfs","Conductor","Orch.","Location","Venue","Event","Soloist","ID"
"1981-82","02/04/1982 20:00:00","3","Erich Leinsdorf","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Glenn Dicterow","178"
"1981-82","09/23/1981 20:00:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Pension Fund Benefit Concert","","1151"
"1981-82","09/03/1981 20:00:00","1","Zubin Mehta","New York Philharmonic","Salt Lake City, UT","Symphony Hall","Tour","Thomas Stacy","2529"
"1981-82","09/01/1981 20:00:00","1","Zubin Mehta","New York Philharmonic","Concord, CA","Concord Pavilion","Tour","Glenn Dicterow","2522"
"1980-81","08/25/1981 20:30:00","1","Zubin Mehta","New York Philharmonic","Highland Park, IL","Ravinia Park Pavilion","Tour","Glenn Dicterow","5546"
"1980-81","08/20/1981 20:30:00","1","Zubin Mehta","New York Philharmonic","Vienna, VA","Filene Center","Tour","Thomas Stacy","5541"
"1980-81","05/15/1981 20:30:00","1","Zubin Mehta","New York Philharmonic","Mexico City, MEXICO","Sala Nezahualcóyotl","Tour","","7221"
"1980-81","09/14/1980 00:00:00","1","Zubin Mehta","New York Philharmonic","Brussels, BELGIUM","Palais des Beaux-Arts","Tour","Stanley Drucker","1639"
"1980-81","09/08/1980 20:00:00","1","Zubin Mehta","New York Philharmonic","Hannover, GERMANY","Stadthalle","Tour","Stanley Drucker","1622"
"1980-81","09/04/1980 19:30:00","1","Zubin Mehta","New York Philharmonic","Oslo, Norway","Konserthuset","Tour","Lorne Munroe,Sol Greitzer","1616"
"1979-80","08/28/1980 20:00:00","1","Zubin Mehta","New York Philharmonic","Luzerne, SWITZERLAND","Kultur- und Kongresszentrum Luzern","Tour","Sidney Harth","4641"
"1979-80","08/24/1980 20:00:00","1","Zubin Mehta","New York Philharmonic","Edinburgh, SCOTLAND","Usher Hall","Tour","","4625"
"1979-80","06/28/1980 20:15:00","1","Klaus Tennstedt","New York Philharmonic","Saratoga Springs, NY","Performing Arts Center","Tour","Philip Myers","13219"
"1979-80","06/25/1980 20:30:00","1","Klaus Tennstedt","New York Philharmonic","Vienna, VA","Filene Center","Tour","Philip Myers","13218"
"1979-80","06/23/1980 00:00:00","1","Klaus Tennstedt","New York Philharmonic","Chicago, IL","Poplar Creek Music Theater","Tour","Philip Myers","13217"
"1979-80","06/20/1980 00:00:00","1","Klaus Tennstedt","New York Philharmonic","Syracuse, NY","Crouse-Hinds Theater","Tour","Philip Myers","3317"
"1979-80","06/06/1980 20:00:00","1","Eugene Ormandy","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Festival","André Watts","4576"
"1979-80","06/05/1980 20:00:00","1","Eugene Ormandy","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","André Watts","1040"
